from;to;type;endDate
/tutorial/criar-promocoes--tutorials_320;https://help.vtex.com/pt/tutorial/lista-de-promocoes-beta--4yB7nNdliiFxBTXE19GCIi;permanent;
/subcategory/disputas--204Hz794zvcUIJXLcShY43;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/faq/como-ver-un-ranking-de-los-productos-mas-vendidos;https://help.vtex.com/tutorial/como-ver-un-ranking-de-los-productos-mas-vendidos;permanent;
/tutorial/como-criar-cupom--tutorials_319;https://help.vtex.com/pt/tutorial/criar-cupom-beta--7lMk3MmhNp2IEccyGApxU;permanent;
/tutorial/lista-de-controles-para-templates--tutorials_563;https://developers.vtex.com/vtex-developer-docs/docs/list-of-controls-for-templates;permanent;
/tutorial/configurando-especificaciones-de-producto--tutorials_271;https://help.vtex.com/es/tutorial/registrar-especificaciones-o-campos-de-producto--tutorials_106;permanent;
/faq/que-son-las-utms-internas;https://help.vtex.com/tutorial/que-son-las-utms-internas;permanent;
/tutorial/feed-v3-de-gerenciamento-de-pedidos;https://help.vtex.com/tutorial/feed-de-pedidos--5SzSKee2f666YCoWkm0eQC#;permanent;
/faq/impedir-que-transportista-atienda-cierto-rango-de-codigos-postales;https://help.vtex.com/tutorial/impedir-que-transportista-atienda-cierto-rango-de-codigos-postales;permanent;
https://help.vtex.com/tutorial/match-de-anuncios-mercado-livre--1C4HjNLbNk2Y6evD0luXMr;https://help.vtex.com/tracks/configurar-integracao-do-mercado-livre--2YfvI3Jxe0CGIKoWIGQEIq/43uD4LPU5PLUWe11IaWwyR;permanent;
en/announcements/vtex-provides-klarna-pay-now-and-klarna-pay-later-payment-methods-for-the--1YAcV4TEeNlhL49jvdX2w1;https://help.vtex.com/en/tutorial/list-of-payment-providers-by-country--2im3BEGXxSAcRuxEaIHPvp;permanent;
/faq/llenar-la-planilla-de-stock;https://help.vtex.com/tutorial/llenar-la-planilla-de-stock;permanent;
/developer-docs;https://developers.vtex.com;permanent;
/tutorial/activating-new-vtex-cdn--400JfRm4VGgsKgqgOw4WWA;https://help.vtex.com/en/tracks/go-live-your-store--4Ns5FxIiksmjsdX2yOTduM/7wFsbWgN4rnZsbjhv8IItX;permanent;
/faq/que-es-un-transportista;https://help.vtex.com/tutorial/que-es-un-transportista;permanent;
/subcategory/vision-general-vtex-payment--6uIlQ5imochc5LFi3dzCSv;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/tutorial/application-keys--2iffYzlvvz4BDMr6WGUtet;https://help.vtex.com/en/tutorial/api-keys--4bFEmcHXgpNksoePchZyy6;permanent;
/tracks/vtex-intelligent-search--19wrbB7nEQcmwzDPl1l4Cb/4flMwTaQL8FRKl1YT58ezH;https://help.vtex.com/en/tutorial/indexing-history--55SRQ79PXk5lTURF54DRyJ;permanent;
